id,description,code,code,unit_size,category,link,rank,price,cost,created_at,updated_at
180962fd-156e-40e7-b27a-c230d9adf09e,Señal fotoluminiscente con soporte pvc celtex 3mm  pictograma impresión digital tinta ecosolvente y sobrelaminado incluye cinta de doble contacto,FT20X30-I,FT20X30-I,20x30cm,fotoluminiscente,https://tellsenales.com/seguridad/senal-fotoluminiscente-con-base-pvc-celtex-3mm/,7,10,4,2023-12-05 16:06:32.345,2025-01-16 19:00:54.834
184d40da-7bab-4b44-9d3c-6d630877fa52,Hito kilometrico 1.2 m. con nomenclatura,HI12,HI12,und,viales,https://tellsenales.com/seguridad/poste-o-hito-de-kilometraje/,0,180,120,2023-08-03 03:38:19.427,2024-09-19 20:41:27.29
1887f45a-beba-46c3-9bca-8d0e1a06ede7,Señal CONVENCIONAL Vinil Arclad + sobrelaminado brillo (protección UV) aplicado en soporte PVC celtex de 5 mm,PVC120X80,PVC120X80,120x80cm,convencionales,https://tellsenales.com/seguridad/senal-vinil-laminado-con-base-pvc-celtex-3mm/,8,80,40,2024-08-26 21:56:09.881,2024-09-21 23:47:13.422
1a3c6f24-af44-4fa5-afb9-e7812a4ed964,"Rollo cinta reflectiva tipo i - grado ingenieria 2"" x45.7 mts 3M - color verde",CGI-3M-VD,CGI-3M-VD,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-reflectiva-grado-ingenieria-2-x45-7mts-3m/,0,280,200,2023-08-03 03:38:19.427,2024-09-19 20:33:47.503
1a57e744-87c1-44d9-983b-e0822860c9ca,"Cinta reflectiva 2"" x 45.7M. marca Reflexlite, color rojo",CRRJ-2,CRRJ-2,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-reflectiva-2-pulgadas-5-cm-x-45-7mts-reflexlite/,0,320,170,2023-08-03 03:38:19.427,2024-08-24 23:23:19.291
1a8dce01-c842-4a7e-8fde-7e0d1561bb2c," Botiquin Lona portatil chico  20cm x 16cm x 5cm , color rojo ",BOTL-CH,BOTL-CH,und,articulos seguridad,https://tellsenales.com/seguridad/botiquin-lona-portatil-chico/,0,25,13,2024-08-16 16:13:26.246827,2024-08-16 16:13:26.246827
1a9c7bba-6d60-4c6b-a28e-2b24c4008733,Costo de envio ( Delivery ),DEL,DEL,und,servicio,,0,15,15,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
1b13a465-e323-4cfe-b0de-45cf849c9bcb,"Poste metálico tubo redondo Ø2.5""  x  2mm x 3.6M. Pintado: doble capa anticorrosiva y doble capa gloss en patrón zebra ( cada 30cm ) - incluye accesorios pernos, tuercas, arandelas y anclaje",PS2X2X3.6,PS2X2X3.6,und,viales,https://tellsenales.com/seguridad/postes-metalicos-para-senalizacion-vial-duraderos-visibles-y-versatiles/,0,145,120,2024-01-05 13:56:45.751,2024-08-26 21:07:45.775
1bde10e7-a979-43fe-a9ed-2faca91c4718,Postes delineadores  de concreto de 1Metro,PDEL,PDEL,und,viales,,0,60,80,2024-11-04 15:48:53.321315,2024-11-04 15:48:53.321315
1dabeaa0-3e5e-4ba3-8c29-a953d8efdd56,Sticker vinil troquelado con transfer de papel,STRO,STRO,und,seguridad,https://tellsenales.com/seguridad/sticker-vinil-troquelado-con-transfer-de-papel/,0,1,2,2024-09-19 21:46:49.270779,2024-09-19 21:46:49.270779
1e1ccce3-6105-4648-b997-cfc6c456dc27,"Cinta de doble contacto SCOTCHMOUNT 3/4"" x 33Mts 3M 4016",CD4016,CD4016,rollo,cintas seguridad,https://tellsenales.com/seguridad/rollo-cinta-de-doble-contacto-scotchmount-3-4-x-33mts-3m-4016/,0,180,160,2023-08-03 03:38:19.427,2024-08-24 22:59:37.571
1e8a4c7d-6fbe-4da1-8657-719520030396,"Tacho basculante en fibra de vidriio 3mm , diametro: 45cm , capacidad: 80L , Alto 75cm",TBAS45,TBAS45,und,seguridad,,0,500,400,2024-08-14 14:59:41.294254,2024-08-14 14:59:41.294254
1f3392e4-53b1-497d-b6bd-72bedf668b27,"Señal vertical informativa con lamina reflectiva tipo IV Alta Intensidad Prismático (HIP) , letras y marco Reflectivo Grado Ingenieria(GI) con soporte compuesto de aluminio  4mm",SHI80X30,SHI80X30,80x30cm,viales,https://tellsenales.com/seguridad/senales-informativas-para-calles-con-lamina-reflectiva-y-soporte-compuesto/,9,85,54,2023-08-03 03:38:19.427,2024-08-24 22:47:08.847
203f66ef-366b-4c00-99c5-2137639f4321,"Cono de seguridad de 28 pulgadas ( 70 cm ) incluye cinta reflectiva ",CN-28,CN-28,und,proteccion vial,,0,35,23,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
20b6f666-9796-4eac-a1fc-4ae29219a2ef,"Cadena plástica amarillo - negro  ",cad,cad,metro,seguridad,,0,10,6,2023-09-07 21:03:28.576,2023-09-07 21:03:28.576
2397a543-3978-490f-8601-2176be7306ff,Luces de emergencia 24 led schubert original,LE-SCH-24,LE-SCH-24,und,articulos seguridad,https://tellsenales.com/seguridad/luz-de-emergencia-schubert/,0,65,40,2023-08-03 03:38:19.427,2024-09-06 20:08:11.946
24f8e384-10b0-43ef-a8f0-e7994272c44e,Gabinete contra incendio de 9 - 12kg ( 38.5 x 81cm x 23cm),GAB12,GAB12,und,lucha contra incendio,,0,100,65,2024-06-17 22:32:49.058,2024-06-17 22:32:49.058
26687d94-4b06-4dac-9c25-9a5cab082bd6,Señal Vertical Preventiva Lámina: Reflectivo tipo IV Alta Intensidad Prismático  3M (HIP) Soporte: Panel Aluminio Compuesto 4mm Pictograma: Reflectivo Grado Ingeniería,SHP60-3M,SHP60-3M,60x60cm,viales,https://tellsenales.com/seguridad/senal-preventiva-con-lamina-de-alta-intensidad-hip-y-soporte-sustrato-de/,9,140,88,2025-01-03 02:41:15.945,2025-01-03 02:58:11.421
27479d64-6c53-42b5-807b-1ac58c954c04,"Contador de días sin accidentes fabricando con soporte compuesto de aluminio 4mm, impresión vinil laminado ( protección UV) y perfiles de aluminio para numeración.",CON-PAL60X90,CON-PAL60X90,90x60cm,seguridad,https://tellsenales.com/seguridad/letrero-informativo-contador-de-dias-sin-accidentes-en-acrilico/,0,220,121,2024-03-19 14:31:17.239,2024-09-06 19:49:12.29
27769d45-dab5-49d7-a7d1-2826cdbb1e46,"Fibra de vidrio 4 mm con refuerzo platina 1 1/2"" ( perforacion de 3/8 "" )",FIB60X60,FIB60X60,60x60cm,viales,https://tellsenales.com/seguridad/placa-fibra-de-vidrio-60x60-cm-de-4mm-con-resina-poliester/,0,72,57.6,2023-08-03 03:38:19.427,2024-10-15 16:28:51.167
